mir,sapiens,denisovan,altai,vindja,chag,DiffSapDen,DiffSapVin,DiffSapAlt,DiffDenVin,DiffDenAlt,DiffAltVin,DiffSapCha,DiffVinCha,DiffDenCha,DiffAltCha
miR-410-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-539-3p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-488-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-378a-5p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-1245b-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-640,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-6126,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-1185-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-6821-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-523-5p,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-363-5p,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-4515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-5000-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-6838-5p,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0
miR-3940-5p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-3920,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-3147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-5682,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-5585-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-660-3p,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0
miR-378h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-924,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
miR-892b,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
miR-3177-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-548j-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-200c-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-4632-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-146b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-29a-3p,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-93-3p,5,4,4,4,4,1,1,1,0,0,0,1,0,0,0
miR-1587,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0
miR-6511a-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
